央视卫视,#genre#
CCTV-7国防军事,http://144.0.18.66:8018/hls/7/index.m3u8
CCTV-8电视剧,http://144.0.18.66:8018/hls/8/index.m3u8
CCTV-9纪录,http://144.0.18.66:8018/hls/9/index.m3u8
CCTV-10科教,http://144.0.18.66:8018/hls/10/index.m3u8
CCTV-11戏曲,http://144.0.18.66:8018/hls/11/index.m3u8
CCTV-12社会与法,http://144.0.18.66:8018/hls/12/index.m3u8
CCTV-13新闻,http://144.0.18.66:8018/hls/13/index.m3u8
CCTV-14少儿,http://144.0.18.66:8018/hls/14/index.m3u8
CCTV-15音乐,http://144.0.18.66:8018/hls/15/index.m3u8
CCTV-16奥林匹克,http://218.15.20.81:3388/hls/36/index.m3u8
CCTV-17农业农村,http://113.64.146.6:2024/hls/34/index.m3u8
CCTV-5+体育赛事,http://218.15.20.81:3388/hls/5/index.m3u8
北京卫视,http://144.0.18.66:8018/hls/46/index.m3u8
天津卫视,http://113.64.146.6:2024/hls/69/index.m3u8
东方卫视,http://144.0.18.66:8018/hls/54/index.m3u8
东南卫视,http://144.0.18.66:8018/hls/55/index.m3u8
海南卫视,http://144.0.18.66:8018/hls/66/index.m3u8
广东卫视,http://144.0.18.66:8018/hls/57/index.m3u8
广西卫视,http://144.0.18.66:8018/hls/58/index.m3u8
深圳卫视,http://144.0.18.66:8018/hls/72/index.m3u8
江苏卫视,http://144.0.18.66:8018/hls/51/index.m3u8
江西卫视,http://144.0.18.66:8018/hls/64/index.m3u8
浙江卫视,http://144.0.18.66:8018/hls/52/index.m3u8
湖南卫视,http://144.0.18.66:8018/hls/50/index.m3u8
湖北卫视,http://144.0.18.66:8018/hls/49/index.m3u8
安徽卫视,http://144.0.18.66:8018/hls/48/index.m3u8
山东卫视,http://144.0.18.66:8018/hls/20/index.m3u8
山西卫视,http://144.0.18.66:8018/hls/70/index.m3u8
教育卫视,http://144.0.18.66:8018/hls/16/index.m3u8
河南卫视,http://144.0.18.66:8018/hls/62/index.m3u8
河北卫视,http://144.0.18.66:8018/hls/61/index.m3u8
厦门卫视,https://live1b.kxm.xmtv.cn/xmtvbf/playlist.m3u8 
龙江卫视,http://144.0.18.66:8018/hls/58/index.m3u8
吉林卫视,http://113.64.146.6:2024/hls/89/index.m3u8
辽宁卫视,http://144.0.18.66:8018/hls/65/index.m3u8
云南卫视,http://113.64.146.6:2024/hls/86/index.m3u8
贵州卫视,http://144.0.18.66:8018/hls/59/index.m3u8
四川卫视,http://144.0.18.66:8018/hls/74/index.m3u8
重庆卫视,http://113.64.146.6:2024/hls/88/index.m3u8
陕西卫视,http://144.0.18.66:8018/hls/71/index.m3u8
甘肃卫视,http://144.0.18.66:8018/hls/56/index.m3u8
宁夏卫视,http://144.0.18.66:8018/hls/68/index.m3u8
青海卫视,http://144.0.18.66:8018/hls/69/index.m3u8
内蒙卫视,http://144.0.18.66:8018/hls/67/index.m3u8
西藏卫视,http://144.0.18.66:8018/hls/75/index.m3u8
新疆卫视,http://144.0.18.66:8018/hls/76/index.m3u8
兵团卫视,http://113.64.146.6:2024/hls/85/index.m3u8
三沙卫视,http://113.64.146.6:2024/hls/88/index.m3u8
卡酷动画,http://113.64.146.6:2024/hls/51/index.m3u8
哈哈炫动,http://144.0.18.66:8018/hls/42/index.m3u8
嘉佳卡通,http://113.64.146.6:2024/hls/50/index.m3u8
优漫卡通,http://144.0.18.66:8018/hls/45/index.m3u8
金鹰卡通,http://144.0.18.66:8018/hls/43/index.m3u8

CCTV-1综合,http://58.221.214.82:9901/tsfile/live/0001_1.m3u8
CCTV-2财经,http://58.221.214.82:9901/tsfile/live/0002_1.m3u8
CCTV-3综艺,http://58.221.214.82:9901/tsfile/live/0003_1.m3u8
CCTV-4中文国际,http://58.221.214.82:9901/tsfile/live/0004_1.m3u8
CCTV-5体育,http://58.221.214.82:9901/tsfile/live/0005_1.m3u8
CCTV-6电影,http://58.221.214.82:9901/tsfile/live/0006_1.m3u8
CCTV-7国防军事,http://58.221.214.82:9901/tsfile/live/0007_1.m3u8
CCTV-8电视剧,http://58.221.214.82:9901/tsfile/live/0008_1.m3u8
CCTV-9纪录,http://58.221.214.82:9901/tsfile/live/0009_1.m3u8
CCTV-10科教,http://58.221.214.82:9901/tsfile/live/0010_1.m3u8
CCTV-11戏曲,http://58.221.214.82:9901/tsfile/live/0011_1.m3u8
CCTV-12社会与法,http://58.221.214.82:9901/tsfile/live/0012_1.m3u8
CCTV-13新闻,http://58.221.214.82:9901/tsfile/live/0013_1.m3u8
CCTV-14少儿,http://58.221.214.82:9901/tsfile/live/0014_1.m3u8
CCTV-15音乐,http://58.221.214.82:9901/tsfile/live/0015_1.m3u8
CCTV-16奥林匹克,http://58.221.214.82:9901/tsfile/live/0002_2.m3u8
CCTV-17农业农村,http://58.221.214.82:9901/tsfile/live/0003_2.m3u8
CCTV-5+体育赛事,http://58.221.214.82:9901/tsfile/live/0016_1.m3u8 
CGTN-英语,https://english-livebkws.cgtn.com/live/encgtn.m3u8
CGTN-法语,https://francais-livews.cgtn.com/hls/LSvev95OuFZtKLc6CeKEFYXj220802LSTeV6PO0Ut9r71Uq3k5goCA220802cd/playlist.m3u8
CGTN-西语,https://espanol-livews.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd/playlist.m3u8
